timestamp_minutes,hour,crop_type,temperature,humidity,co2_ppm,light_lux,ethylene_ppm,temperature_floor,temperature_mid,temperature_ceiling,humidity_point_1,humidity_point_2,humidity_point_3,humidity_gradient_variance,door_open,door_cycles_today,door_cycles_cumulative,compressor_on,compressor_duty_cycle,compressor_power_kw,energy_consumed_kwh,energy_anomaly_score,room_pressure_pa,pressure_stability,condensation_risk_zones,quality_index,quality_status,rsl_hours,rsl_percent,decay_temperature,decay_humidity,decay_co2,decay_microbial,decay_infrastructure,flu_total,water_loss_percent,microbial_load,mold_risk_score,is_good,is_spoiled,quality_class,scenario_id,temp_profile,humidity_profile,initial_condition
50,0,orange,8.02,88.76,404.4,10.7,0.68,7.72,8.1,8.51,88.3,89.06,93.05,4.346,0,0,0,1,50.0,4.926,4.11,0.97,-2.78,0.861,0,80.47,GOOD,2159.1,99.96,0.9991,1.0,1.0,1.0,0.8059,0.0004,0.01,0.1,0.017,1,0,0,orange_00000,optimal,optimal,fresh
105,1,orange,10.47,88.99,430.5,7.2,0.55,10.13,10.51,10.94,88.78,88.36,88.93,0.058,0,0,0,1,100.0,5.208,8.626,1.083,-3.05,0.848,0,53.72,MARGINAL,2157.8,99.9,0.763,1.0,1.0,1.0,0.705,0.001,0.01,0.21,0.035,0,0,1,orange_00000,optimal,optimal,fresh
100,1,mango,15.13,87.58,566.6,8.8,0.68,14.94,15.03,15.58,87.11,88.42,85.76,1.178,0,0,0,1,100.0,4.838,8.346,0.935,-2.98,0.851,0,57.61,MARGINAL,358.0,99.43,0.8019,1.0,0.9887,1.0,0.7317,0.0057,0.03,0.2,0.029,0,0,1,mango_00000,optimal,optimal,fresh
20,0,leafy_greens,4.04,96.48,459.7,7.6,0.51,3.68,4.16,4.63,95.33,96.89,95.09,0.631,0,0,0,1,50.0,5.259,1.715,1.104,-1.44,0.928,0,77.66,GOOD,239.6,99.85,0.9984,1.0,1.0,1.0,0.7793,0.0015,0.01,0.04,0.005,1,0,0,leafy_greens_00000,optimal,optimal,fresh
5,0,berries,1.21,92.72,400.6,14.1,0.64,0.84,1.1,1.7,92.5,92.15,95.44,2.179,0,0,0,1,50.0,4.801,0.4,0.92,-2.06,0.897,0,81.54,GOOD,167.9,99.94,1.0,1.0,1.0,1.0,0.8159,0.0006,0.0,0.01,0.001,1,0,0,berries_00000,optimal,optimal,fresh
30,0,leafy_greens,4.93,96.45,493.2,12.5,0.54,4.61,5.06,5.43,96.64,96.51,97.88,0.384,0,0,0,1,50.0,5.414,2.62,1.166,-1.42,0.929,1,70.86,GOOD,239.4,99.77,0.9265,1.0,1.0,1.0,0.7669,0.0023,0.01,0.06,0.008,1,0,0,leafy_greens_00000,optimal,optimal,fresh
15,0,leafy_greens,3.51,96.54,463.9,10.9,0.65,3.03,3.51,3.87,96.2,96.02,98.61,1.39,0,0,0,1,50.0,5.423,1.277,1.169,-1.75,0.913,1,76.52,GOOD,239.7,99.89,1.0,1.0,1.0,1.0,0.7662,0.0011,0.0,0.03,0.004,1,0,0,leafy_greens_00000,optimal,optimal,fresh
40,0,berries,4.33,92.2,493.7,13.9,0.55,4.0,4.42,4.81,91.49,92.62,90.79,0.567,0,0,0,1,50.0,4.766,3.286,0.906,-2.52,0.874,0,63.48,MARGINAL,167.1,99.48,0.7795,1.0,1.0,1.0,0.8187,0.0052,0.01,0.08,0.01,0,0,1,berries_00000,optimal,optimal,fresh
95,1,mango,15.02,87.85,561.0,10.4,0.56,14.75,14.9,15.44,88.33,87.57,87.56,0.13,0,0,0,1,100.0,4.641,7.943,0.856,-3.08,0.846,0,59.71,MARGINAL,358.1,99.46,0.8137,1.0,0.9902,1.0,0.7459,0.0054,0.03,0.19,0.027,0,0,1,mango_00000,optimal,optimal,fresh
5,0,avocado,6.93,92.21,412.9,10.7,0.63,6.61,6.94,7.45,91.36,92.23,91.27,0.191,0,0,0,1,50.0,4.891,0.408,0.956,-2.15,0.892,0,80.85,GOOD,399.9,99.98,1.0,1.0,1.0,1.0,0.8087,0.0002,0.0,0.01,0.001,1,0,0,avocado_00000,optimal,optimal,fresh
35,0,berries,3.89,92.83,494.9,5.9,0.65,3.5,3.95,4.38,93.19,92.87,94.72,0.649,0,0,0,1,50.0,5.103,2.889,1.041,-2.42,0.879,0,65.3,MARGINAL,167.3,99.56,0.8286,1.0,1.0,1.0,0.7918,0.0044,0.0,0.07,0.009,0,0,1,berries_00000,optimal,optimal,fresh
35,0,avocado,8.71,92.88,439.8,10.9,0.59,8.39,8.88,9.36,91.3,92.59,92.19,0.291,0,0,0,1,50.0,4.654,2.946,0.861,-2.16,0.892,0,78.23,GOOD,399.4,99.86,0.9468,1.0,1.0,1.0,0.8277,0.0014,0.01,0.07,0.01,1,0,0,avocado_00000,optimal,optimal,fresh
20,0,leafy_greens,4.04,96.48,459.7,7.6,0.51,3.68,4.16,4.63,95.33,96.89,95.09,0.631,0,0,0,1,50.0,5.259,1.715,1.104,-1.44,0.928,0,77.66,GOOD,239.6,99.85,0.9984,1.0,1.0,1.0,0.7793,0.0015,0.01,0.04,0.005,1,0,0,leafy_greens_00000,optimal,optimal,fresh
45,0,mango,13.43,89.34,449.0,11.8,0.62,12.97,13.45,14.1,90.36,89.51,90.49,0.186,0,0,0,1,50.0,4.754,3.734,0.902,-2.18,0.891,0,79.37,GOOD,359.1,99.76,0.9711,1.0,1.0,1.0,0.8197,0.0024,0.01,0.09,0.013,1,0,0,mango_00000,optimal,optimal,fresh
125,2,mango,15.96,88.22,620.8,9.9,0.65,15.59,15.94,16.44,87.31,88.47,87.71,0.235,0,0,0,1,100.0,5.165,10.461,1.066,-3.42,0.829,0,48.54,AT_RISK,357.3,99.24,0.7053,1.0,0.9807,1.0,0.7082,0.0076,0.04,0.25,0.036,0,0,2,mango_00000,optimal,optimal,fresh
55,0,berries,5.58,92.7,529.6,6.3,0.64,5.18,5.55,5.95,92.46,92.54,90.96,0.53,0,0,0,1,50.0,5.231,4.569,1.092,-2.67,0.867,0,48.91,AT_RISK,166.7,99.23,0.6309,1.0,1.0,1.0,0.7815,0.0077,0.01,0.11,0.014,0,0,2,berries_00000,optimal,optimal,fresh
70,1,orange,8.87,89.16,425.0,10.8,0.66,8.54,8.86,9.46,90.3,89.06,87.47,1.343,0,0,0,1,100.0,4.511,5.712,0.805,-3.6,0.82,0,70.37,GOOD,2158.6,99.94,0.9325,1.0,1.0,1.0,0.7552,0.0006,0.01,0.14,0.023,1,0,0,orange_00000,optimal,optimal,fresh
195,3,orange,13.12,88.99,468.8,10.6,0.62,12.59,13.09,13.7,89.08,88.93,89.08,0.005,0,0,0,1,100.0,4.52,15.987,0.808,-3.26,0.837,0,32.51,AT_RISK,2155.5,99.79,0.432,1.0,1.0,1.0,0.7546,0.0021,0.03,0.39,0.065,0,0,2,orange_00000,optimal,optimal,fresh
10,0,leafy_greens,3.06,96.71,411.5,13.1,0.65,2.61,2.93,3.63,96.99,96.65,95.07,0.702,0,0,0,1,50.0,4.63,0.825,0.852,-2.01,0.9,0,82.89,GOOD,239.8,99.93,1.0,1.0,1.0,1.0,0.8296,0.0007,0.0,0.02,0.003,1,0,0,leafy_greens_00000,optimal,optimal,fresh
40,0,avocado,8.99,93.27,466.2,6.0,0.61,8.72,8.98,9.58,93.52,93.5,92.33,0.308,0,0,0,1,50.0,4.65,3.334,0.86,-1.89,0.905,0,76.1,GOOD,399.3,99.83,0.9208,1.0,1.0,1.0,0.828,0.0017,0.01,0.08,0.011,1,0,0,avocado_00000,optimal,optimal,fresh
30,0,mango,13.03,88.97,441.3,13.7,0.57,12.82,13.01,13.45,88.69,88.44,90.08,0.518,0,0,0,1,50.0,5.062,2.472,1.025,-1.67,0.917,0,79.26,GOOD,359.4,99.84,0.9988,1.0,1.0,1.0,0.795,0.0016,0.01,0.06,0.009,1,0,0,mango_00000,optimal,optimal,fresh
